"id","title_en","title_ur","type","icon","description_en","description_ur","checklist_en","checklist_ur","jurisdiction","office_locations","estimated_days","fee_structure"
"1","Blood Test (Pathology)","خون کا ٹیسٹ (پیتھالوجی)","hospital","Activity","Complete guide for CBC, Glucose, and Lipid profile tests at public hospitals.","سرکاری ہسپتالوں میں سی بی سی، گلوکوز اور لپڈ پروفائل ٹیسٹ کے لیے مکمل گائیڈ۔","[""Original CNIC"",""Doctor's Official Prescription Slip"",""12-hour Fasting (if required)"",""Laboratory Fee Receipt""]","[""اصل شناختی کارڈ"",""ڈاکٹر کا آفیشل نسخہ"",""12 گھنٹے کا روزہ (اگر ضرورت ہو)"",""لیبارٹری فیس کی رسید""]",,"[]",,
"2","Emergency (ER) Visit","ایمرجنسی (ای آر) کا دورہ","hospital","Stethoscope","Urgent care procedure for accidents or sudden illness.","حادثات یا اچانک بیماری کی صورت میں فوری طبی امداد کا طریقہ کار۔","[""Patient's CNIC"",""Guardian's CNIC"",""Previous Medical Files""]","[""مریض کا شناختی کارڈ"",""سرپرست کا شناختی کارڈ"",""پرانی میڈیکل فائلیں""]",,"[]",,
"3","Eye Cataract Surgery","آنکھوں کے موتیا کا آپریشن","hospital","Eye","Step-by-step guidance for cataract surgery planning in government eye wards.","سرکاری آئی وارڈز میں موتیا کے آپریشن کی منصوبہ بندی کے لیے مرحلہ وار رہنمائی۔","[""Ophthalmologist Referral"",""Blood Sugar Report"",""ECG Report"",""CNIC Copy""]","[""ماہر امراض چشم کا ریفرل"",""بلڈ شوگر کی رپورٹ"",""ای سی جی رپورٹ"",""شناختی کارڈ کی کاپی""]",,"[]",,
"4","Physiotherapy & Rehab","فزیوتھراپی اور بحالی","hospital","UserCheck","Guidelines for accessing physical therapy for joint pains or post-stroke recovery.","جوڑوں کے درد یا فالج کے بعد بحالی کے لیے فزیو تھراپی تک رسائی کے لیے رہنما ہدایات۔","[""Doctor's Referral"",""X-ray/MRI Reports"",""Follow-up Card""]","[""ڈاکٹر کا ریفرل"",""ایکس رے / ایم آر آئی رپورٹس"",""فالو اپ کارڈ""]",,"[]",,
"5","Child Vaccination (EPI)","بچوں کی ویکسینیشن (ای پی آئی)","hospital","Syringe","Procedure for routine immunization of infants at local health centers.","مقامی مراکز صحت میں شیر خوار بچوں کی معمول کی حفاظتی ٹیکہ کاری کا طریقہ کار۔","[""Child's Vaccination Card"",""Mother's CNIC"",""Birth Certificate (Original/Copy)""]","[""بچے کا ویکسینیشن کارڈ"",""والدہ کا شناختی کارڈ"",""پیدائشی سرٹیفکیٹ (اصل / کاپی)""]",,"[]",,
"6","Cardiology (ECG/Echo)","امراض قلب (ای سی جی / ایکو)","hospital","HeartPulse","How to get specialized heart tests at NICVD or Punjab Institute of Cardiology.","این آئی سی وی ڈی یا پنجاب انسٹی ٹیوٹ آف کارڈیالوجی میں دل کے مخصوص ٹیسٹ کروانے کا طریقہ۔","[""Latest Prescription"",""CNIC Copy"",""Previous ECG"",""Fee Token""]","[""تازہ ترین نسخہ"",""شناختی کارڈ کی کاپی"",""پرانی ای سی جی"",""فیس ٹوکن""]",,"[]",,
"7","New Smart CNIC (NADRA)","نیا سمارٹ شناختی کارڈ (نادرا)","government","User","Applying for your first CNIC or updating an existing one at NADRA centers.","نادرا مراکز میں اپنے پہلے شناختی کارڈ کے لیے درخواست دینا یا موجودہ کارڈ کو اپ ڈیٹ کرنا۔","[""Original B-Form (for first-timers)"",""Parents' CNIC Copies"",""Presence of One Blood Relative"",""Utility Bill Copy""]","[""اصل بے فارم (پہلی بار کے لیے)"",""والدین کے شناختی کارڈ کی کاپیاں"",""ایک خونی رشتہ دار کی موجودگی"",""یوٹیلیٹی بل کی کاپی""]",,"[]",,
"8","Passport Renewal (Urgent/Normal)","پاسپورٹ کی تجدید (ارجنٹ / نارمل)","government","FileText","Complete process for renewing your machine-readable passport.","اپنے مشین ریڈ ایبل پاسپورٹ کی تجدید کا مکمل طریقہ کار۔","[""Original CNIC"",""Old Passport"",""Passport Fee Receipt (Bank/Asaan App)"",""Child's B-Form (if under 18)""]","[""اصل شناختی کارڈ"",""پرانا پاسپورٹ"",""پاسپورٹ فیس کی رسید (بینک / آسان ایپ)"",""بچے کا بے فارم (اگر 18 سال سے کم ہو)""]",,"[]",,
"9","Marriage Certificate (Union Council)","نکاح کا سرٹیفکیٹ (یونین کونسل)","government","Users","How to register your marriage and get the NADRA computerised certificate.","اپنی شادی کو رجسٹر کرنے اور نادرا کا کمپیوٹرائزڈ سرٹیفکیٹ حاصل کرنے کا طریقہ۔","[""Filled Nikahnama (Original)"",""Copy of Bride & Groom CNIC"",""Father/Witness CNIC Copies"",""Nikah Khawan License Copy""]","[""پُر شدہ نکاح نامہ (اصل)"",""دولہا اور دلہن کے شناختی کارڈ کی کاپی"",""والد / گواہ کے شناختی کارڈ کی کاپیاں"",""نکاح خواں کے لائسنس کی کاپی""]",,"[]",,
"10","Domicile Certificate","ڈومیسائل سرٹیفکیٹ","government","Home","Permanent residence proof required for government jobs and college admissions.","سرکاری ملازمتوں اور کالج میں داخلوں کے لیے مستقل رہائش کا ثبوت۔","[""CNIC/B-Form"",""Voter List Copy"",""Property Documents (or Rent Deed)"",""2 Passport Size Photos""]","[""شناختی کارڈ / بے فارم"",""ووٹر لسٹ کی کاپی"",""پراپرٹی کی دستاویزات (یا کرایہ نامہ)"",""2 پاسپورٹ سائز تصاویر""]",,"[]",,
"11","Vehicle Transfer (Ownership)","گاڑی کی منتقلی (ملکیت)","government","Car","Procedure for buying/selling a vehicle and transferring the smart card.","گاڑی خریدنے / بیچنے اور سمارٹ کارڈ منتقل کرنے کا طریقہ کار۔","[""Original Smart Card"",""Biometric of Seller & Buyer"",""Transfer Letter"",""Latest Tax Paid Receipt""]","[""اصل سمارٹ کارڈ"",""بیچنے والے اور خریدنے والے کا بائیو میٹرک"",""ٹرانسفر لیٹر"",""تازہ ترین ٹیکس ادا شدہ رسید""]",,"[]",,
"12","Learner's Driving License","لرنر ڈرائیونگ لائسنس","government","Zap","Applying for a 6-month temporary driving permit.","6 ماہ کے عارضی ڈرائیونگ پرمٹ کے لیے درخواست دینا۔","[""Original CNIC"",""Blood Group Knowledge"",""Rs. 60 Ticket (Post Office)""]","[""اصل شناختی کارڈ"",""بلڈ گروپ کا علم"",""60 روپے کا ٹکٹ (پوسٹ آفس)""]",,"[]",,
