"id","service_id","step_number","title_en","title_ur","description_en","description_ur","image_path"
"1","1","1","OPD Registration","او پی ڈی رجسٹریشن","First, visit the main OPD counter to get your registration slip. This usually costs Rs. 20-50 at government hospitals.","سب سے پہلے، اپنی رجسٹریشن سلپ حاصل کرنے کے لیے مین او پی ڈی کاؤنٹر پر جائیں۔ سرکاری ہسپتالوں میں اس کی لاگت عام طور پر 20-50 روپے ہوتی ہے۔",
"2","1","2","Pathology Billing","پیتھالوجی بلنگ","Take your prescription to the pathology billing window. Pay the test charges and get a stamped receipt with your sample collection number.","اپنا نسخہ پیتھالوجی بلنگ ونڈو پر لے جائیں۔ ٹیسٹ کے چارجز ادا کریں اور اپنے نمونے جمع کرنے کے نمبر کے ساتھ مہر لگی رسید حاصل کریں۔",
"3","1","3","Sample Collection Area","نمونہ جمع کرنے کا علاقہ","Locate the blood collection room (usually labeled 'Lab'). Present your receipt to the staff and wait for your name or token number to be called.","خون جمع کرنے کا کمرہ تلاش کریں (عام طور پر 'لیب' کا لیبل لگا ہوا ہوتا ہے)۔ عملے کو اپنی رسید دکھائیں اور اپنا نام یا ٹوکن نمبر پکارنے کا انتظار کریں۔",
"4","1","4","Report Collection","رپورٹ کی وصولی","Return to the laboratory counter after 24-48 hours with your original receipt to collect the printed reports. You can also check if online reports are available via the hospital portal.","پرنٹ شدہ رپورٹس حاصل کرنے کے لیے اصل رسید کے ساتھ 24-48 گھنٹے بعد لیبارٹری کاؤنٹر پر واپس آئیں۔ آپ یہ بھی چیک کر سکتے ہیں کہ آیا ہسپتال کے پورٹل کے ذریعے آن لائن رپورٹس دستیاب ہیں۔",
"5","2","1","Triage Counter","ٹرائیج کاؤنٹر","Immediately approach the Triage staff. They will assess the severity (Red, Yellow, or Green zone) and guide you to the relevant medical officer.","فوری طور پر ٹرائیج عملے سے رجوع کریں۔ وہ شدت (سرخ، پیلے، یا سبز زون) کا اندازہ لگائیں گے اور آپ کو متعلقہ میڈیکل آفیسر کے پاس بھیجیں گے۔",
"6","2","2","Initial Stabilization","ابتدائی طبی امداد","The patient will be moved to the observation ward for initial treatment (IV drips, oxygen, or first aid).","مریض کو ابتدائی علاج (آئی وی ڈرپس، آکسیجن، یا ابتدائی طبی امداد) کے لیے آبزرویشن وارڈ میں منتقل کیا جائے گا۔",
"7","2","3","Medication Purchase","ادویات کی خریداری","While some medicines are free, specific emergency drugs may need to be purchased from the hospital pharmacy (Zakat funds or Sehat Card may apply).","اگرچہ کچھ ادویات مفت ہیں، لیکن مخصوص ایمرجنسی ادویات ہسپتال کی فارمیسی سے خریدنی پڑ سکتی ہیں (زکوٰۃ فنڈز یا صحت کارڈ لاگو ہو سکتا ہے)۔",
"8","3","1","Pre-Op Assessment","آپریشن سے پہلے کا معائنہ","Visit the Eye OPD for eye pressure testing and lens power measurement (Biometry).","آنکھوں کے دباؤ کی جانچ اور لینس کی طاقت کی پیمائش (بایومیٹری) کے لیے آئی او پی ڈی کا دورہ کریں۔",
"9","3","2","Surgery Date","آپریشن کی تاریخ","Submit your reports to the eye ward counter to get a scheduled date for surgery. You will be given instructions on when to stop eating before the procedure.","آپریشن کی تاریخ حاصل کرنے کے لیے اپنی رپورٹس آئی وارڈ کاؤنٹر پر جمع کرائیں۔ آپ کو طریقہ کار سے پہلے کھانا بند کرنے کے بارے میں ہدایات دی جائیں گی۔",
"10","3","3","OT Admission","او ٹی داخلہ","On the day of surgery, arrive at 8:00 AM with a family member. Wear clean, loose clothing.","آپریشن والے دن، صبح 8:00 بجے فیملی ممبر کے ساتھ پہنچیں۔ صاف اور ڈھیلے کپڑے پہنیں۔",
"11","4","1","Consultation","مشورہ","Consult the Physiatrist (specialist doctor) who will prescribe the type of therapy sessions needed.","فزیاٹرسٹ (ماہر ڈاکٹر) سے مشورہ کریں جو ضرورت کے مطابق تھراپی سیشن تجویز کرے گا۔",
"12","4","2","Session Booking","سیشن کی بکنگ","Book your time slots at the physiotherapy counter. Sessions are usually conducted daily or thrice a week.","فزیوتھراپی کاؤنٹر پر اپنا ٹائم سلاٹ بک کریں۔ سیشن عام طور پر روزانہ یا ہفتے میں تین بار منعقد ہوتے ہیں۔",
"13","5","1","Record Verification","ریکارڈ کی تصدیق","Present the vaccination card to the EPI staff to verify which vaccines are due based on the child's age.","ای پی آئی عملے کو ویکسینیشن کارڈ دکھائیں تاکہ اس بات کی تصدیق کی جا سکے کہ بچے کی عمر کے لحاظ سے کون سی ویکسین باقی ہے۔",
"14","5","2","Weight Check","وزن کی جانچ","The nurse will record the child's current weight and growth markers.","نرس بچے کا موجودہ وزن اور نشوونما کے نشانات ریکارڈ کرے گی۔",
"15","5","3","Vaccination","ویکسینیشن","The vaccine is administered (oral drops or injection). Stay for 15 minutes after to monitor for any immediate reaction.","ویکسین دی جاتی ہے (زبانی قطرے یا انجکشن)۔ کسی بھی فوری ردعمل کی نگرانی کے لیے 15 منٹ تک وہیں رہیں۔",
"16","6","1","Vitals Counter","وائٹلز کاؤنٹر","Get your BP and oxygen levels checked by the nursing staff.","نرسنگ عملے سے اپنا بی پی اور آکسیجن لیول چیک کروائیں۔",
"17","6","2","ECG Room","ای سی جی روم","Enter the diagnostic room. Keep your phone off as it can interfere with the machine.","تشخیصی کمرے میں داخل ہوں۔ اپنا فون بند رکھیں کیونکہ یہ مشین میں مداخلت کر سکتا ہے۔",
"18","7","1","Token Generation","ٹوکن کا حصول","Enter the NADRA office and get a token. Choose 'Urgent' or 'Executive' if you need it faster (costs more).","نادرا آفس میں داخل ہوں اور ٹوکن حاصل کریں۔ اگر آپ کو جلدی ضرورت ہے تو 'ارجنٹ' یا 'ایگزیکٹو' کا انتخاب کریں (زیادہ لاگت)۔",
"19","7","2","Biometric Data","بائیو میٹرک ڈیٹا","Go to the designated counter for fingerprints, digital signature, and your photo.","فنگر پرنٹس، ڈیجیٹل دستخط اور اپنی تصویر کے لیے مخصوص کاؤنٹر پر جائیں۔",
"20","7","3","Verification","تصدیق","A NADRA officer will verify your documents and ask you to confirm your address and family details.","ایک نادرا افسر آپ کی دستاویزات کی تصدیق کرے گا اور آپ سے اپنے پتے اور خاندان کی تفصیلات کی تصدیق کرنے کو کہے گا۔",
"21","7","4","Form Signing","فارم پر دستخط","Collect the printed form, sign it, and if required, get it attested by a Grade 17 officer (though many centers now have auto-attestation via biometric relative).","پرنٹ شدہ فارم حاصل کریں، اس پر دستخط کریں، اور اگر ضرورت ہو تو گریڈ 17 کے افسر سے اس کی تصدیق کروائیں (اگرچہ اب بہت سے مراکز میں بائیو میٹرک رشتہ دار کے ذریعے خودکار تصدیق ہوتی ہے)۔",
"22","8","1","Fee Deposit","فیس جمع کروانا","Pay the passport fee at National Bank of Pakistan or via the 'Passport Fee Asaan' mobile app before visiting.","جانے سے پہلے نیشنل بینک آف پاکستان میں یا 'پاسپورٹ فیس آسان' موبائل ایپ کے ذریعے پاسپورٹ فیس ادا کریں۔",
"23","8","2","Document Desk","دستاویز ڈیسک","Present your CNIC and fee receipt at the entrance counter to receive your queue number.","اپنا قطار نمبر حاصل کرنے کے لیے داخلی کاؤنٹر پر اپنا شناختی کارڈ اور فیس کی رسید دکھائیں۔",
"24","8","3","Interview","انٹرویو","Meet the Assistant Director for a short interview regarding your travel history and occupation.","اپنی سفری تاریخ اور پیشے کے بارے میں مختصر انٹرویو کے لیے اسسٹنٹ ڈائریکٹر سے ملیں۔",
"25","9","1","Nikahnama Submission","نکاح نامہ جمع کروانا","Submit the original Nikahnama to the local Union Council where the Nikah was performed.","اصل نکاح نامہ مقامی یونین کونسل میں جمع کرائیں جہاں نکاح ہوا تھا۔",
"26","9","2","Fee & Form","فیس اور فارم","Pay the NADRA registration fee and fill out the computerized data form provided by the UC staff.","نادرا رجسٹریشن فیس ادا کریں اور یو سی عملے کے فراہم کردہ کمپیوٹرائزڈ ڈیٹا فارم کو پُر کریں۔",
